Gene ID	TSS ID	Transcript ID	gene name
LH00502	TSS2705	CUFF.2652.1	-
LH00503	TSS2709	P1P2	RP11-316M1.12
LH00504	TSS2710	ENST00000412838	RP11-316M1.3
LH00505	TSS2711	CUFF.2670.1	-
LH00506	TSS2713	CUFF.2673.1	-
LH00507	TSS2715	ENST00000422153	RP11-126K1.8
LH00508	TSS2716	P1P2	RP11-126K1.6
LH00509	TSS2717	CUFF.2675.1	-
LH00510	TSS2718	CUFF.2675.2	-
LH00511	TSS2730	P1P2	RP11-98D18.9
LH00511	TSS2731	P1P2	RP11-98D18.9
LH00512	TSS2733	P1P2	AL450992.2
LH00513	TSS2737	P1P2	AL450992.2
